entity_text,paper_count,pmids,entity_type,sources,mean_confidence
Transformer,73,"34232869,35536809,35655148,35657113,35772910,35974061,36094335,36095029,36593326,36738650,37200157,37507396,37587836,37665714,37864911,37874958,37956160,38012574,38105227,38155169,38190692,38228610,38572168,38704403,38710786,38805433,38878555,38957452,39066514,39094795,39101502,39101690,39120645,39164302,39213391,39225779,39230709,39251639,39259689,39312689,39334272,39444035,39455647,39502384,39576587,39585721,39631034,39640612,39714579,39747823,39774456,39780059,39838963,39930026,39994539,39999194,40036690,40044786,40050418,40057225,40069254,40148406,40184563,40193601,40195405,40295551,40315689,40335579,40341210,40389708,40436975,40498850,40514376",COM,ruler,1.0
PubChem,62,"34850941,35037224,35227770,35255958,35294761,35325185,35369609,35381376,35415670,35458710,35643512,36156625,36284750,36305812,36321230,36370100,36395823,36467581,37027007,37058588,37129482,37291365,37342759,37371536,37431591,37450416,37589022,37623730,37673902,37722101,37829020,37897341,37904411,37918093,37978560,37994677,38311838,38418571,38596315,38622746,38665156,38758924,38814564,38880887,38885636,38979651,39080729,39134728,39503579,39526373,39558158,39558165,39578580,39609715,39658041,39957787,40108717,40175056,40200282,40211375,40274264,40700252",COM,ruler,1.0
Ensembl,55,"34634797,34723319,34751401,34788826,34791415,34792170,34986604,34999909,35143654,35354358,35556129,35918364,36124785,36268869,36318249,36385508,36394265,36394420,36420896,36610989,36624667,36755307,36882164,37053306,37173739,37227514,37280537,37521110,37784172,37933859,37947586,37953337,38025697,38035367,38127855,38256255,38458603,38504112,38597606,38626724,39095083,39157583,39412445,39494541,39514846,39530236,39565199,39588754,39588765,39658041,39910777,40097274,40392208,40417655,40996716",COM,ruler,1.0
GEO,50,"34850125,34935889,35028350,35193506,35414795,35524556,35592546,35609980,35657113,35809855,36266291,36318256,36326108,36474475,36760999,36847572,36968016,37055532,37180100,37227514,37386732,37460827,37461161,37707574,37747225,37889077,37933855,38017352,38035367,38379334,38491529,38517778,38525301,38564425,38606287,38650009,38654053,38717988,38753488,38770717,38806182,38855325,38926513,39018385,39213211,39402558,39468922,39476302,39530087,40413228",COM,ruler,1.0
CiteSpace,49,"35154305,35173728,35221786,35627380,35627690,35646825,35663940,35682025,35769473,35795675,35846692,35886193,35935954,36081985,36224012,36341351,36378377,36673842,36776551,36910227,37183322,37202634,37464256,37471311,37960750,38067743,38102171,38497584,38681072,38790809,38856921,39381001,39397792,39430756,39445018,39493751,39610043,39633813,39686412,39910843,39943272,39944353,39944643,40070374,40212143,40213549,40309112,40527861,40557160",COM,statistical,1.0
Pfam,48,"34424339,34850923,34986599,35141219,35148171,35148686,35186498,35346024,35430947,35495109,35670735,35753700,36011344,36169226,36208223,36300618,36350672,36419248,36472426,36483087,36648327,36764355,37045837,37061086,37704037,37811892,38015957,38371639,38747283,38803272,38824125,38886663,39134029,39171834,39215721,39526372,39540428,39565196,39569321,39658041,39672676,39766814,39916697,40216665,40367087,40400345,40410160,40606672",COM,ruler,1.0
ClinVar,48,"34664660,35148171,35156024,35311657,35330423,35337356,35821017,36063453,36130085,36300680,36305828,36332611,36370100,36469362,36651276,36681081,36789265,37123454,37128447,37280537,37386017,37994677,38040041,38059438,38284225,38373162,38440907,38575974,38602506,38640488,38749504,38768635,39112918,39226898,39227781,39348154,39382066,39404758,39436017,39465390,39484850,39498263,39658041,39709002,39825153,39998433,40067792,40109352",COM,ruler,1.0
RefSeq,45,"34718745,34850941,34951622,35080120,35217168,35354358,35580044,35639517,35687095,35758788,35804320,35859338,36124785,36370100,36420896,36748555,36814618,36896476,37280537,37350639,37639797,37761836,37904256,37962425,37994677,38035367,38127855,38504112,38659008,38846350,38980436,39101213,39157583,39201310,39205165,39306700,39522045,39526381,39936323,39960880,39977364,40119728,40327749,40411446,40996716",COM,ruler,1.0
UniProtKB,44,"34755880,34788826,34850820,35053288,35147037,35186498,35403696,35495109,35640594,35751824,35939284,36350627,36350672,36399505,36408920,36484697,36510133,36558536,36755307,36912607,37045837,37053306,37874958,37904585,37947313,38256255,38309384,38532297,39101213,39251610,39475123,39506806,39514846,39540428,39552041,39565202,39565895,39830014,39858555,39989025,40100125,40210874,40400345,40996716",COM,ruler,1.0
ChEMBL,44,"35255958,35458710,35643512,35695435,35876159,36103300,36175836,36252922,36395823,36609528,36923950,37137934,37149650,37151295,37169224,37572442,37682956,37722101,37726809,37933841,37978560,38016694,38069801,38084920,38112004,38206320,38311838,38470995,38581840,38622746,38957398,38979651,39075547,39110924,39433759,39503579,39558158,39833831,40097274,40133788,40175056,40316178,40458637,40467651",COM,ruler,1.0
