entity_text,paper_count,pmids,entity_type,sources,mean_confidence
SERS,13,"35180897,36431921,37918093,38624007,38970677,39093951,39191106,39233482,39371477,39501899,39889147,40102313,40113206",COM,"statistical,v2_bert",0.9677894576923076
GISAID,13,"34761257,35354824,35365069,35479940,35561186,36576129,37101659,37142725,37839865,37894561,39043393,39937661,40262134",COM,ruler,1.0
PID,13,"34890150,35082792,35544520,36827290,36864175,36882166,37217776,38730252,38961072,39396076,39700114,39733153,40044725",COM,ruler,1.0
M,13,"35504931,35778250,35873634,36206939,36309134,36321230,36781917,37099532,37198230,38081800,38851809,39413723,39567565",FUL,v2_bert,0.7318053723076923
$,12,"34889452,35021190,35081119,35780383,36037463,36576129,37833838,38832633,39757114,40018115,40163822,40557783",COM,statistical,1.0
YouTube,12,"35616118,36630372,36922507,38307909,38718013,39041912,39071970,39361557,40161362,40198669,40490478,40496743",COM,statistical,1.0
INSDC,12,"34751405,35561186,36420889,37956313,37962425,37971299,38860884,38913867,39339901,39380489,39535044,39896240",COM,ruler,1.0
database,12,"35591924,35641682,35759515,36018484,36318251,36412326,39234065,39874126,39885171,39900840,40236778,40588608",FUL,v2_bert,0.6108269175
CSD,12,"35318851,35816925,36507160,36598498,37038395,37332681,38504974,38760382,38763400,38983118,39247224,39701476",COM,statistical,1.0
DisProt,12,"34606614,34850135,34986604,35898309,37167423,37581491,37904585,38507044,39470701,39576584,40054813,40347452",COM,ruler,1.0
Genome Taxonomy Database,12,"34520557,35049120,36125864,36383786,38189256,38613393,38643272,38846350,39526369,39804694,39817732,40584559",FUL,"statistical,v2_bert",0.999358575
SILVA,12,"35561196,36304264,36670373,36959538,37143483,37258857,37303742,38189256,38600668,39522045,40391087,40584559",COM,ruler,1.0
RGB,12,"33798067,35895741,36351936,36959253,37208401,37231037,39477957,39730327,39957731,40044705,40274829,40389441",COM,statistical,1.0
BIDS,12,"35361781,35361782,36008415,36138036,37857685,38049487,38538633,39915473,40089497,40393988,40394039,40410191",COM,statistical,1.0
bioactive peptides,12,"34570216,35235313,35552640,35761329,37504497,37908832,37928486,38011719,38162307,38762540,39591252,39654719",FUL,ruler,1.0
GPS,12,"35058533,35338161,36207310,36513667,37137931,37158278,38304386,38709873,38816403,39687360,40064898,40307272",COM,statistical,1.0
ATLAS,12,"35351897,35614098,35710678,36449162,36777178,37986215,38182666,38593479,39214048,39746936,40312509,40504102",COM,ruler,1.0
T,11,"34918453,36675137,37930544,37938247,38050974,38064432,38753714,38776380,39351064,39567508,39972080",COM,v2_bert,0.7785697336363636
IEDB,11,"35262674,36070252,36087207,36250634,36806329,36901730,37258911,38783079,39558162,40036690,40121509",COM,ruler,1.0
cBioPortal,11,"35193494,36243772,36882166,37387152,37540443,38421446,39143966,39822275,40164800,40380393,40432836",COM,ruler,1.0
Brain Imaging Data Structure,11,"36008415,36138036,37857685,38049487,38538633,39915473,39920160,40089497,40393988,40410191,40464151",FUL,statistical,1.0
HPA,11,"35637248,36108145,36526955,36604173,37004080,37508506,37540443,37791887,38156953,38206988,40414739",COM,ruler,1.0
dbSNP,11,"34718739,34850941,35148171,35446421,36305828,37214420,37994677,38886537,39192052,39530225,39658041",COM,ruler,1.0
DDBJ,11,"34751405,35941762,36350640,36420889,37889039,37962425,37971299,38025697,38327367,38447993,39380489",COM,ruler,1.0
International Nucleotide Sequence Database Collaboration,11,"34751405,36420889,37956313,37956405,37971299,38862433,38913867,39339901,39380489,39535044,39896240",FUL,ruler,1.0
PDBe,11,"34755867,35507259,36012140,36173162,36304325,37045837,38042830,39333508,39565202,40100137,40133793",COM,ruler,1.0
MSigDB,11,"35759515,36882166,37070209,37260078,37715141,38717988,39049932,39227781,39402558,39425047,39833831",COM,ruler,1.0
COSMIC,11,"34904638,35751824,36243772,36300680,36759776,37248814,37540443,38035367,38183204,38336780,39979591",COM,ruler,1.0
GCN,11,"35265836,35907779,36385044,37267208,38085234,38569236,39173285,39312678,39609715,40095417,40466864",COM,statistical,1.0
F,10,"36195686,37127747,37168598,37208354,37438378,37991246,38537199,39176538,39394222,40195327",FUL,v2_bert,0.745011689
PROTAC,10,"35397401,35857806,36300631,36469581,36905918,37933562,38689503,39101502,39225044,39989026",COM,statistical,1.0
O,10,"35298521,37202401,37407787,37555578,37667526,37689762,37932307,38082113,38811659,39418250",COM,v2_bert,0.775288968
Wikidata,10,"34718729,35616633,37072921,37142627,38098783,38556919,39354632,40188111,40231150,40386664",COM,ruler,1.0
Pangenome,10,"35401459,35552372,36258067,36448683,38573185,38873647,39107817,39116055,39400346,40343462",COM,statistical,1.0
LINCS,10,"35021991,35183110,35524556,36182102,36207580,37952162,37953774,38736322,38940127,40179105",COM,ruler,1.0
CARD,10,"35165358,35584003,36263822,36399505,37079891,37207327,37569821,37876810,39278463,39977327",COM,ruler,1.0
COG,10,"35495109,35502202,35641095,36765121,37014908,38015957,39003315,39494517,40005591,40606672",COM,ruler,1.0
GPT,10,"37516791,38281112,38704403,38719344,38805433,39487529,39910777,39963877,40146303,40510764",COM,"statistical,v2_bert",0.988373667
CATH,10,"35507259,35724625,36648327,37045837,37797858,38177985,38548261,38803272,39565206,39826548",COM,ruler,1.0
E,10,"35404974,35511882,35560102,36239171,36453866,37362570,38959215,39237577,39913390,40483547",COM,v2_bert,0.713451847
Cambridge Structural Database,10,"36507160,36598498,37038395,37332681,38504974,38760382,38763400,38983118,39247224,39701476",FUL,statistical,1.0
COCONUT,9,"36103300,36510332,36533982,37722101,37895859,38206320,38528548,38882162,39588778",COM,ruler,1.0
Online Mendelian Inheritance in Man,9,"35504357,35857265,36732862,36913438,38040041,38203654,38629401,38843230,39163546",FUL,ruler,1.0
ChemDataExtractor,9,"35504897,35504964,35715446,36272983,37332681,37739960,38233439,39580441,39965271",COM,statistical,1.0
IntAct,9,"34761267,34983371,36353604,36548962,36847572,37450164,37819683,38783158,39401100",COM,ruler,1.0
DAVID,9,"35325185,35390003,36209090,37776009,38606287,38731836,38855325,39412445,40543694",COM,ruler,1.0
OC,9,"36507160,37707574,38509422,38603733,38945507,39749176,40082829,40496737,40878329",COM,statistical,1.0
Human Cell Atlas,9,"35086829,36200899,36413377,36791787,37291214,37952182,39566552,39567491,39567795",FUL,statistical,1.0
CAZy,9,"34850161,34986604,36399505,36631912,37216585,38426351,38990885,39658041,39961523",COM,ruler,1.0
LightGBM,9,"36922536,37478157,38127089,38367445,38658632,38820435,39172803,40388119,40478960",COM,statistical,1.0
DSP,9,"35085302,35090073,35143999,35544520,36240173,37329484,38783964,39527480,40407102",COM,"ruler,v2_bert",0.9717488333333333
MinION,9,"34664973,36518292,37332502,37387129,37395631,38793613,39166362,40169941,40417475",COM,statistical,1.0
GAN,9,"36795731,37291165,37387181,37624781,37926662,38032941,38213883,39367444,40295551",COM,statistical,1.0
SAR,9,"35143999,35227887,35525881,35831313,37236027,37894561,38769397,38979651,39955285",COM,statistical,1.0
Convolutional Neural Networks,9,"34606466,38598468,38889117,39333289,39361557,39955343,40044786,40292995,40323945",FUL,statistical,1.0
PeptideAtlas,9,"35418183,36370099,36529941,38232391,38810119,39101213,39475123,39622905,40084908",COM,ruler,1.0
YOLO,9,"37369715,37733731,38263411,39244605,39290423,39633811,40169663,40341255,40470349",COM,statistical,1.0
KEY,9,"35024919,35538374,35802157,37199469,37672078,38396192,39046587,39500795,39831966",COM,statistical,1.0
eccDNA,9,"34792166,35388171,36707765,36757087,37018146,37114214,37273851,38538648,39693568",COM,statistical,1.0
Immune Epitope Database,9,"36070252,36087207,36250634,36806329,36901730,37258911,37306951,39558162,40121509",FUL,statistical,1.0
Rat Genome Database,8,"35380657,35380658,36553571,36930729,37119810,37347557,39841812,39907792",FUL,ruler,1.0
Genome Aggregation Database,8,"35330423,35995307,36121795,38582080,38749656,39498263,40102419,40225917",FUL,ruler,1.0
EFSA,8,"35035582,35526357,35734284,36628332,37325259,38107375,39010863,40008245",COM,statistical,1.0
Gene Expression Database,8,"35359334,35886662,37686255,38531069,38622098,38831653,40298430,40360995",FUL,ruler,1.0
World Health Organization,8,"35578335,36402034,36932363,36941938,36962988,38024249,38244664,39867820",FUL,statistical,1.0
GAT,8,"35446912,35589837,38181611,38497637,39080339,39173285,39219476,40251829",COM,ruler,1.0
GPT-3.5,8,"38281112,38470890,38722233,39259689,39288310,39928922,39963877,40494666",COM,statistical,1.0
ScienceDirect,8,"35240242,35693267,37907145,38302883,39317289,39382461,40107473,40158830",COM,statistical,1.0
SciFinder,8,"35240242,36156625,38242219,38843790,38885636,39095357,39922392,40522748",COM,statistical,1.0
DisGeNET,8,"34664660,35207753,35325185,35361129,35560008,37904411,38523647,39818139",COM,ruler,1.0
SMART,8,"35495109,35561293,35995372,36399505,37869626,38092913,38478526,40485116",COM,ruler,1.0
GNPS,8,"35668110,36156625,37431591,37452020,38123557,39934125,40249845,40296170",COM,ruler,1.0
TMB,8,"36628764,36940568,37061987,37223888,37341540,38201563,38401282,38442619",COM,ruler,1.0
CIViC,8,"35148171,35156024,35366592,35426945,35673010,36300680,36373660,36541006",COM,ruler,1.0
MGI,8,"35022470,35380657,38336614,38531069,39117633,39259173,39893196,40465654",COM,ruler,1.0
COD,8,"35398537,35413965,35650216,37310789,38115123,38813150,39732869,40185755",COM,ruler,1.0
of,8,"35414083,37605971,38550579,38808697,38828478,39250076,39304579,40592015",FUL,v2_bert,0.57767731125
eggNOG,8,"36399505,36896476,37010293,37749380,37952902,38015957,38426351,38724521",COM,ruler,1.0
FlyBase,8,"35266522,35380658,35980571,36293549,37981656,38230566,38301657,39910777",COM,ruler,1.0
MGnify,8,"35526357,36477304,36806692,38872612,39470730,39497067,39797569,40296452",COM,ruler,1.0
wwPDB,8,"34718729,35507259,36173162,36478084,37045837,38597878,38803272,39607707",COM,ruler,1.0
i,8,"35806459,36092435,36294661,36503126,37484460,37637211,39040351,40687679",COM,v2_bert,0.71702725125
LitCovid,8,"35341949,35536809,35849027,36043400,36350613,36426767,39432499,40262134",COM,ruler,1.0
BioCreative,8,"35962559,35998105,36043400,36197453,36882099,38994795,39114977,39126204",COM,v2_bert,0.64171803625
MaizeGDB,8,"36755109,38337024,38577974,38816789,39101213,39151939,39453608,39611775",COM,ruler,1.0
RCA,8,"35934354,36628764,36940568,39319393,39527480,39632313,40011459,40499459",COM,statistical,1.0
RCT,8,"35873634,36303168,37769048,37965606,38572262,39913390,40181211,40441113",COM,statistical,1.0
FAIRification,8,"34472587,35468846,36470968,37208349,37208467,37393296,40296170,40450355",COM,statistical,1.0
dataset,8,"38235179,38605088,38698003,38744841,38876995,38962207,39478004,39913370",FUL,v2_bert,0.65723317125
pLDDT,8,"35609987,37870473,37904585,38109881,39916697,40133787,40424178,40471992",COM,statistical,1.0
CADD,8,"35121854,35163948,35889494,36139041,36678678,39503579,39609715,40494321",COM,statistical,1.0
MODIS,8,"35365679,35927555,36437246,38012190,39090119,39300179,40069206,40193364",COM,statistical,1.0
B,8,"35084980,35414055,36173162,37532867,38327295,39082653,39198462,40170100",COM,v2_bert,0.6372072825
CHM13,7,"36978122,37055538,37156621,37162382,37904256,39424793,39729312",COM,statistical,1.0
BioRED,7,"35849818,38904416,39114977,39126204,39197056,39700498,39853110",COM,statistical,1.0
SWATH,7,"35701420,36912639,37491288,38468111,39266559,39389962,40410165",COM,statistical,1.0
L,7,"36951282,37019916,37028736,38808315,38904416,39510256,40243662",COM,v2_bert,0.6511275757142857
EGA,7,"34791407,35438138,37244984,37672022,38717988,39371417,39837330",COM,ruler,1.0
DMD,7,"35753349,35933489,37410813,38682751,39031379,39090686,39186704",COM,ruler,1.0
DenseNet,7,"35607649,36240175,38091264,39120645,39251639,39738593,40038324",COM,statistical,1.0
AutoDock,7,"34546290,36502369,37328705,37552222,38160287,38686803,39660955",COM,statistical,1.0
miRTarBase,7,"34850139,34850920,34986604,37098414,37260078,37904411,39578692",COM,ruler,1.0
SVM,7,"36098562,36301797,36443666,38909399,39637015,40432025,40458637",COM,"statistical,v2_bert",0.9371654642857142
DNA Data Bank of Japan,7,"34751405,36350640,36420889,37889039,37971299,39380489,39558184",FUL,ruler,1.0
MOF,7,"35104033,37081024,37105065,37332681,39087644,39455623,39898310",COM,"statistical,v2_bert",0.9390830657142857
STATEMENT,7,"35981686,36927888,37507033,37572981,37751997,38570106,40381929",COM,statistical,1.0
CEDAR,7,"36250634,36371407,36624667,37258911,40036690,40417549,40779104",COM,ruler,1.0
CGD,7,"36008656,39512782,39567709,39776186,39937662,40413228,40671919",COM,ruler,1.0
BraTS,7,"35134636,37440581,37956263,38750041,39367444,39577347,39757669",COM,statistical,1.0
Pharmacogenomics,7,"36255213,36350094,36927888,39354004,39565203,40170583,40180241",FUL,ruler,1.0
GeneCards,7,"35348648,35560008,37667328,37791887,37904411,38927512,40543694",COM,ruler,1.0
MSI,7,"35548855,36253139,36350503,38088904,40197022,40246671,40277201",COM,statistical,1.0
macOS,7,"36353604,36961332,37254060,38389029,38913844,39875867,40233091",COM,statistical,1.0
DOI,7,"35451453,36961337,39493529,39760572,39774456,40313391,40372465",COM,statistical,1.0
DSS,7,"35197484,37208434,37537999,38163502,38686803,38736337,38800691",COM,statistical,1.0
International Mouse Phenotyping Consortium,7,"36305825,36350656,36456625,37160609,37581698,39163546,39254744",FUL,ruler,1.0
Clinical Genome Resource,7,"35039090,36541006,36617168,38663031,39241757,39404758,39793579",FUL,ruler,1.0
Rfam,7,"36399486,37468182,38371639,38872612,38917322,39526405,40268235",COM,ruler,1.0
a genomics,7,"36261617,36548217,36748524,37528731,38784596,39284808,39480818",FUL,ruler,1.0
OpenStreetMap,7,"35365664,36941275,37024499,37777566,39521802,39820017,40328764",COM,statistical,1.0
BMRB,7,"34791357,35507259,36478084,36624667,37583258,38177162,40133793",COM,ruler,1.0
N,7,"35066287,36748495,37871106,37953312,38723350,39548122,39762267",COM,v2_bert,0.8095633442857143
AACR,7,"35819403,37061987,37223888,38421446,38593228,39941902,40163907",COM,statistical,1.0
MDR,7,"35685674,39154445,39399658,39402285,39570410,40119500,40421790",COM,ruler,1.0
HSI,7,"35869783,37355750,38484830,38914542,40180672,40399336,40528035",COM,statistical,1.0
ResNet,7,"35176595,36240175,36528806,38739503,39251639,39523747,40359222",COM,statistical,1.0
Comprehensive Antibiotic Resistance Database,7,"35584003,36263822,37079891,37876810,37971258,40119500,40329334",FUL,ruler,1.0
BRCA,7,"35361119,36330496,36385461,38671360,38909399,39546087,39897104",COM,statistical,1.0
ImageNet,7,"35260616,35349449,37029115,37369770,39814742,40253381,40367230",COM,statistical,1.0
BioPortal,7,"35861678,38326906,39412443,39841813,40046760,40323307,40380393",COM,"ruler,v2_bert",0.9456351
Alliance of Genome Resources,7,"34897464,35166825,35380658,37125646,37666946,37891644,38552170",COM,statistical,1.0
μM,7,"38091264,38665834,38692787,38985448,39264898,40288882,40543694",COM,statistical,1.0
BOLD,7,"37614126,38327368,38683334,38784157,38789452,38903959,39371081",COM,statistical,1.0
RNAcentral,7,"34850127,37819683,38872612,38927512,39588754,39908113,40273288",COM,ruler,1.0
CRISPR,7,"35326449,37094074,39055984,39268697,40020637,40040244,40261966",COM,v2_bert,0.7776683871428572
fNIRS,7,"35338168,36243727,37699935,37838752,37896575,38806531,39890834",COM,statistical,1.0
G,7,"35234913,37781910,37957256,38376816,38613393,38975336,39333537",COM,v2_bert,0.7255444685714286
GOA,6,"35380657,35388048,35758780,38586586,38940182,40217132",COM,ruler,1.0
GPP,6,"35577806,35859094,36437246,37208404,39353923,39592634",COM,statistical,1.0
ADNI,6,"35969596,36056235,36882008,37848535,38383597,39140398",COM,statistical,1.0
Mouse Genome Informatics,6,"35380657,35735230,35857265,37643078,38531069,39163546",FUL,ruler,1.0
MAUDE,6,"34889828,35778250,36220381,37622490,38327259,39979631",COM,v2_bert,0.8846249016666666
PharmGKB,6,"35156024,35207753,36222570,37904411,38274128,38975336",COM,ruler,1.0
PRS,6,"37672022,38110426,38265251,38336614,38770718,39561770",COM,statistical,1.0
BGCs,6,"35580059,36399496,36929933,37131131,37994699,40467297",COM,statistical,1.0
BERT,6,"35007753,38515052,38710786,39424853,40025083,40499132",COM,statistical,1.0
GROMACS,6,"36656159,37489036,38084728,38502609,39361452,39501332",COM,ruler,1.0
GSA,6,"35941762,36035404,36549921,38025697,38305800,39041916",COM,ruler,1.0
mAP,6,"35338253,38430743,39956811,40169663,40204792,40261733",COM,statistical,1.0
mL.,6,"36276466,36395728,38079568,38096190,38518559,39215687",COM,statistical,1.0
BCG,6,"35039309,35173740,37028736,38129388,39368975,39757706",COM,statistical,1.0
LBD,6,"34424339,35788654,37196989,37541406,39285337,40114255",COM,statistical,1.0
AFDB,6,"36169226,38548261,39565196,39565206,39574394,39672676",COM,statistical,1.0
GlyTouCan,6,"36799723,37129482,37673902,38176651,38995537,39134728",COM,ruler,1.0
miRBase,6,"35102184,35124290,35236776,36453996,37389760,39526405",COM,ruler,1.0
miRNA-141,6,"35608169,37851382,37858559,38970677,39157906,39632313",COM,statistical,1.0
PsycINFO,6,"37179505,37769048,38693469,38809899,39622024,39675831",COM,statistical,1.0
SCIENTIFIC,6,"38698437,39030592,39506806,39910404,40119373,40450355",COM,statistical,1.0
InBIO,6,"38327295,38327368,38481855,38784157,38903959,39896240",COM,statistical,1.0
eXplainable,6,"36175583,36298417,36520016,37789191,38754097,38800693",COM,statistical,1.0
ITS2,6,"37261838,37781910,38865431,38968228,39896240,39949805",COM,ruler,1.0
MetaboLights,6,"35804309,37971299,37971328,39797569,39820425,39934125",COM,ruler,1.0
R,6,"35418183,35594415,37218289,38244664,38637551,40305672",COM,v2_bert,0.7683491183333334
HMDB,6,"34986597,34986604,37291365,37639797,37897362,39757418",COM,ruler,1.0
disorders of,6,"35560008,37146603,39436034,39484850,39773308,39777714",FUL,ruler,1.0
a,6,"37208450,37356913,38914571,39695945,40102678,40402453",FUL,v2_bert,0.7335299700000001
RDB,6,"35263335,37340506,37499165,39263579,39361315,39646391",COM,statistical,1.0
RDP,6,"35561196,36304264,37258857,38189256,39522045,39540432",COM,ruler,1.0
IMU,6,"37626053,38052819,38898046,39856107,39860951,40157915",COM,statistical,1.0
Resource,6,"35853958,38457127,38601265,39996155,40133778,40460314",FUL,v2_bert,0.66393031
GMP,6,"35449227,35801956,36601119,37870453,38563162,39817820",COM,statistical,1.0
Regulatory Network,6,"35976846,36535428,37589496,39013340,39426072,40070311",FUL,ruler,1.0
RGD,6,"34643708,35380657,36553571,36930729,37347557,39841812",COM,ruler,1.0
CRAN,6,"34320637,37471595,37974076,38443821,38500042,39285319",COM,statistical,1.0
neXtProt,6,"35330478,36318223,37340506,38156953,38232391,39514846",COM,ruler,1.0
PBPK,6,"35699913,35861448,36376331,36715173,36878992,37746860",COM,statistical,1.0
antiSMASH,6,"37528731,37623730,37904617,39227914,39498494,39621301",COM,ruler,1.0
miRNA-155,6,"35358774,36701948,37005022,37085743,39718242,40494271",COM,statistical,1.0
CB,6,"37146334,37236027,38053217,38865373,38866804,39778786",COM,ruler,1.0
Dataset,6,"35308350,39637015,40021691,40027253,40075090,40160527",FUL,v2_bert,0.6235615033333334
MobiDB,6,"36416266,36458437,37933859,39470701,39718444,40347452",COM,ruler,1.0
VQA,6,"34951848,36441742,37276105,37647277,37988212,39356598",COM,statistical,1.0
SNOMED-CT,6,"36526439,36732862,37190737,38388690,39197057,39787917",COM,statistical,1.0
Atlas,6,"35915977,36266726,36804047,37554180,39809026,40607320",FUL,v2_bert,0.6233713616666666
CMS,6,"35165298,35351897,35361119,36996758,38820381,39720854",COM,ruler,1.0
COST,6,"35090020,35459677,36150650,36340350,38075858,39414803",COM,statistical,1.0
ArrayExpress,6,"35266505,35584008,36095221,38379334,39018385,40392208",COM,ruler,1.0
PDAC,6,"34980020,36644936,36765128,38023733,38654067,39693144",COM,statistical,1.0
JASPAR,6,"34850907,34986604,36624667,37962376,38035367,39842990",COM,ruler,1.0
CODEX,6,"35612174,35675394,38167832,38940173,39196899,40279289",COM,ruler,1.0
H,6,"35460296,36932363,38658632,39039029,40010299,40209438",COM,v2_bert,0.8038369183333334
PCD,6,"35805101,35956540,37289737,38011720,38681072,39937662",COM,ruler,1.0
DESeq2,6,"38192001,38426351,38553675,38997128,39041916,39273492",COM,statistical,1.0
ChEBI,6,"34755880,36484697,38665156,39080729,39251610,40700252",COM,ruler,1.0
a database of human,6,"34500462,34850130,35348650,36085296,37791887,37897357",FUL,ruler,1.0
The Cancer Imaging Archive,6,"37815256,37938247,38729970,38824087,39567508,40108146",FUL,statistical,1.0
Electronic Health Records,6,"38878555,39455647,39546377,39631489,39787917,39890898",FUL,statistical,1.0
TOPMed,6,"34984576,36564505,37233759,37661541,38627416,39738056",COM,statistical,1.0
T2DM,6,"35606797,35627690,36451277,39349500,39895388,40038313",COM,statistical,1.0
Named Entity Recognition,6,"37563883,39259689,39283593,39312441,39379460,39411448",FUL,statistical,1.0
word2vec,6,"35772910,38755269,38885213,38997332,39444035,40251829",COM,statistical,1.0
ELM,6,"34718738,34791357,34986604,37962385,38377393,38783158",COM,ruler,1.0
GDPR,6,"35070169,35673005,36791787,37589648,38774631,39040351",COM,statistical,1.0
TIME,6,"35464481,36399488,36803614,38370413,39085407,40402455",COM,statistical,1.0
ECOD,6,"38416793,38979784,39540428,39565196,39672676,40320551",COM,statistical,1.0
COVID,5,"35945222,36435936,36473876,37142725,39401061",COM,"statistical,v2_bert",0.9277736600000001
Repository,5,"35040929,37247622,38722607,39355665,39922312",FUL,v2_bert,0.6252295400000001
AUPRC,5,"35183129,38261340,39276157,39788787,40348330",COM,statistical,1.0
AlphaFold2,5,"35561203,36920090,38065275,38557634,38872612",COM,v2_bert,0.753521146
CDD,5,"35354835,35495109,36477806,38053595,39440482",COM,ruler,1.0
SAGA,5,"35451453,35650384,36534827,36892262,38514204",COM,statistical,1.0
C-CAT,5,"36412016,38201563,40156656,40163907,40536622",COM,statistical,1.0
STING,5,"37074080,38142471,38563162,39723915,40425059",COM,statistical,1.0
Bidirectional Encoder Representations from Transformers,5,"38015968,38515052,39424853,40499132,40996710",FUL,statistical,1.0
EVA,5,"34718739,36634041,37925573,39081607,40413228",COM,ruler,1.0
DepMap,5,"35765648,37540443,38279653,39091515,39593080",COM,statistical,1.0
NIR-II,5,"38875326,39747091,39748521,40019314,40152348",COM,statistical,1.0
EMDB,5,"34718729,35507259,37194693,37930544,40133793",COM,ruler,1.0
CDK,5,"35678569,37576746,37845745,37880211,38206277",COM,statistical,1.0
AlphaFoldDB,5,"36416266,37144951,39475178,39718444,40133784",COM,statistical,1.0
International Committee on Taxonomy of Viruses,5,"36464489,37208388,37932119,39339826,40044690",FUL,ruler,1.0
HGNC,5,"35882976,36243972,36347894,37953380,38975336",COM,ruler,1.0
Enrichr,5,"36426870,37130913,37166973,39425047,39833831",COM,ruler,1.0
PASS,5,"35679584,36995916,37872400,37993672,38979651",COM,ruler,1.0
SAXS,5,"35513443,36410953,36410960,36641216,38584701",COM,statistical,1.0
PAT,5,"35365676,35385654,36243963,37122476,38177174",COM,ruler,1.0
International Collaboration on Cancer Reporting,5,"34238814,35869801,38719547,39438780,39636319",FUL,statistical,1.0
IMPORTANCEThe,5,"38329344,38842342,38888326,39352141,40116496",COM,statistical,1.0
ST,5,"37838689,38373745,38856921,39637015,40425575",COM,"statistical,v2_bert",0.9031527
GelMA,5,"35607752,37399762,38659287,38701383,40445067",COM,statistical,1.0
IMPC,5,"35138443,36305825,36456625,37160609,39254744",COM,ruler,1.0
FAANG,5,"36862752,38504112,39157583,39885415,40383208",COM,ruler,1.0
coronavirus disease 2019,5,"35173525,35659449,36763096,37976980,38272320",FUL,statistical,1.0
IMGT,5,"35436998,35622341,36346584,38975336,39450182",COM,v2_bert,0.680448192
CD34,5,"34766273,36918221,37919899,39131155,40080677",COM,statistical,1.0
iNaturalist,5,"35627874,37075357,37518781,37788713,39186522",COM,"statistical,v2_bert",0.817905362
SGD,5,"34897464,36607068,36825752,39361557,39530598",COM,ruler,1.0
meta)data,5,"35283898,36416020,37818860,38774631,40274834",COM,statistical,1.0
PDBbind,5,"35301752,35883475,36988912,38581420,39660955",COM,ruler,1.0
VLPs,5,"36714624,36719225,36940208,38283623,39840069",COM,statistical,1.0
CMR,5,"38008732,38066222,38918497,38956063,40364349",COM,statistical,1.0
VOSviewer,5,"35742316,36467714,37960750,39686412,40213549",COM,statistical,1.0
BCE,5,"36639410,38123570,38198312,38829878,40379663",COM,ruler,1.0
sc-,5,"35213211,38459946,39420631,39506806,40154479",COM,statistical,1.0
GlyCosmos,5,"37129482,37673902,39134728,39690313,40495324",COM,ruler,1.0
SNOMED CT,5,"35612084,36076868,37544362,39083461,39636319",COM,statistical,1.0
LOVD,5,"37845247,39231257,39484850,40225143,40225173",COM,ruler,1.0
MIBiG,5,"36399496,37569821,37623730,39227914,39657789",COM,ruler,1.0
VigiBase,5,"35679331,35986023,38399420,39687301,40240171",COM,statistical,1.0
Bookshelf,5,"34850941,36370100,37104266,37994677,39526373",COM,ruler,1.0
FANTOM5,5,"35672401,35714875,36147666,36350659,38749504",COM,ruler,1.0
Global Navigation Satellite System,5,"36247691,37185767,39019890,39275439,40335529",FUL,statistical,1.0
DREAM,5,"35575379,36790055,36803795,38238448,38629186",COM,ruler,1.0
MobileNet,5,"36240175,38910179,39891245,39979443,40240548",COM,statistical,1.0
ArcGIS,5,"37552667,38042076,38146309,38277912,40240383",COM,statistical,1.0
IDG,5,"35021991,36624666,37151295,37467006,37953774",COM,ruler,1.0
BioProject,5,"34850943,35265836,35352997,37971299,39558184",COM,ruler,1.0
CoxPH,5,"37165971,37428248,37684259,39331900,39341114",COM,statistical,1.0
CatBoost,5,"35511882,37981176,38127089,38820435,38865373",COM,statistical,1.0
ICG,5,"38213714,38437151,39145762,40443946,40467341",COM,ruler,1.0
Genome Sequence Resource of,5,"35130035,35822851,36587236,36600474,37368501",FUL,statistical,1.0
ICE,5,"35058462,37870467,38012190,39080539,40312427",COM,ruler,1.0
ICCR,5,"34238814,35869801,38719547,39438780,39636319",COM,statistical,1.0
ESC,5,"34643704,35459273,36978419,39738650,41136836",COM,ruler,1.0
CODE,5,"35789323,37024650,37529920,37857685,39720854",COM,statistical,1.0
Genomics,5,"37873890,38576435,39596552,39611775,40582370",FUL,v2_bert,0.6366389459999999
Pharmacogenomic,5,"37140427,37548539,39449569,39991480,40170583",FUL,ruler,1.0
DB,5,"35234913,35403696,37244568,38552946,39263579",COM,v2_bert,0.756980072
VEuPathDB,5,"34718728,36656904,37953350,38529759,38819572",COM,ruler,1.0
HUGO Gene Nomenclature Committee,5,"35882976,36243972,37173739,37953380,38975336",FUL,ruler,1.0
GeoTIFF,5,"36385044,37322090,37636128,39809771,40316513",COM,statistical,1.0
Protein Data Bank,5,"34865074,38597878,38803272,39894387,40100137",FUL,"statistical,v2_bert",0.98619384
DRS,5,"36382409,38278822,38953320,39657783,39900761",COM,statistical,1.0
SemMedDB,5,"36175836,36180861,38556728,38782169,40102814",COM,ruler,1.0
DrugProt,5,"35856889,36006843,36399413,37551911,38015956",COM,statistical,1.0
Expression Database,5,"35020925,35560102,37255431,37531635,37940882",FUL,ruler,1.0
GO,5,"35186498,35309148,37915827,38698340,38757367",COM,v2_bert,0.865110576
MANE,5,"36124785,36170113,37904256,39565199,40119728",COM,ruler,1.0
PyPi,5,"35536198,36892166,38714913,39352141,40275641",COM,statistical,1.0
MEA,5,"35560102,35617323,38971557,40348768,40658718",COM,statistical,1.0
NIGMS Sandbox for Cloud-based Learning,5,"39041911,39041913,39041914,39041915,39041916",FUL,statistical,1.0
CBD,5,"36814686,38702834,38868513,39210290,39836634",COM,ruler,1.0
eXtreme,5,"36520016,39789040,40119500,40281195,40661946",COM,statistical,1.0
