pmid,source,ling_score
32941613,linguistic,3.0
30266410,linguistic,3.0
33068412,linguistic,6.0
27766951,linguistic,3.0
30407520,linguistic,6.0
31559014,linguistic,3.0
32209622,linguistic,4.0
33455583,linguistic,3.0
31584171,linguistic,4.0
33756618,linguistic,3.0
21696594,linguistic,5.0
33219674,linguistic,7.0
32436933,linguistic,7.0
33630831,linguistic,5.0
33423696,linguistic,5.0
31942978,linguistic,3.0
27899642,linguistic,4.0
33757430,linguistic,6.0
30130366,linguistic,3.0
34019657,linguistic,10.0
31353404,linguistic,5.0
34037798,linguistic,6.0
30865258,linguistic,3.0
34081107,linguistic,5.0
34599234,linguistic,4.0
31642487,linguistic,4.0
33471060,linguistic,9.0
27899622,linguistic,3.0
34029094,linguistic,4.0
33101613,linguistic,7.0
34042771,linguistic,3.0
31656398,linguistic,5.0
34270693,linguistic,5.0
32871007,linguistic,5.0
31679514,linguistic,4.0
32065211,linguistic,3.0
33098418,linguistic,5.0
31557052,linguistic,3.0
26305368,linguistic,4.0
34783553,linguistic,4.0
31794006,linguistic,6.0
33997112,linguistic,6.0
33270889,linguistic,7.0
32986829,linguistic,5.0
34113986,linguistic,7.0
28578176,linguistic,3.0
31713636,linguistic,3.0
31366898,linguistic,3.0
32600310,linguistic,4.0
31733063,linguistic,4.0
33112702,linguistic,3.0
29126123,linguistic,6.0
33367605,linguistic,7.0
34673265,linguistic,3.0
31284879,linguistic,9.0
30165425,linguistic,10.0
33879052,linguistic,3.0
34428318,linguistic,3.0
33087062,linguistic,5.0
33382035,linguistic,5.0
33035207,linguistic,3.0
23251346,linguistic,3.0
34025933,linguistic,6.0
34341584,linguistic,3.0
33154365,linguistic,4.0
33363710,linguistic,3.0
30689722,linguistic,5.0
34140680,linguistic,3.0
31592084,linguistic,4.0
31740966,linguistic,4.0
31512145,linguistic,3.0
33623058,linguistic,4.0
34147079,linguistic,3.0
31701126,linguistic,3.0
34531327,linguistic,7.0
30304367,linguistic,5.0
31021279,linguistic,3.0
33631799,linguistic,4.0
21624156,linguistic,3.0
29040681,linguistic,3.0
29621297,linguistic,3.0
34566452,linguistic,3.0
30576482,linguistic,4.0
29059408,linguistic,6.0
30329142,linguistic,5.0
32657389,linguistic,7.0
30101318,linguistic,5.0
30918944,linguistic,5.0
31231515,linguistic,3.0
34719891,linguistic,5.0
33181825,linguistic,7.0
32661247,linguistic,4.0
32621232,linguistic,5.0
34319727,linguistic,4.0
31157825,linguistic,3.0
30105604,linguistic,3.0
34303324,linguistic,4.0
29325066,linguistic,6.0
30903160,linguistic,4.0
32632099,linguistic,3.0
34536568,linguistic,6.0
31584092,linguistic,4.0
33903708,linguistic,6.0
31796964,linguistic,3.0
26578589,linguistic,3.0
34001434,linguistic,3.0
31647104,linguistic,4.0
31086982,linguistic,5.0
32761141,linguistic,3.0
34156448,linguistic,5.0
32226440,linguistic,3.0
33784373,linguistic,3.0
33510575,linguistic,3.0
31841564,linguistic,3.0
32390334,linguistic,5.0
33999180,linguistic,7.0
32349659,linguistic,5.0
32527260,linguistic,4.0
31066443,linguistic,4.0
